route_id,route_short_name,route_long_name,route_corridor_name,service_type,route_display_name,is_special_route,delay_risk,recommended_action,records,share_pct
32-203,32,32,32 - Mangere Town Centre / Sylvia Park via Otahuhu,Bus,32,False,Medium,Monitor route conditions,5521,0.1654
32-203,32,32,32 - Mangere Town Centre / Sylvia Park via Otahuhu,Bus,32,False,High,Adjust service headway,331,0.0099
32-203,32,32,32 - Mangere Town Centre / Sylvia Park via Otahuhu,Bus,32,False,Severe,Deploy standby bus or supervisor review,153,0.0046
321-202,321,321,321 - Middlemore Station / Britomart Via Greenlane Hospital,Bus,321,False,Low,No operational action required,7188,0.2153
321-202,321,321,321 - Middlemore Station / Britomart Via Greenlane Hospital,Bus,321,False,Medium,Monitor route conditions,4210,0.1261
321-202,321,321,321 - Middlemore Station / Britomart Via Greenlane Hospital,Bus,321,False,High,Adjust service headway,353,0.0106
321-202,321,321,321 - Middlemore Station / Britomart Via Greenlane Hospital,Bus,321,False,Severe,Deploy standby bus or supervisor review,6,0.0002
323-221,323,323,323 - Otahuhu Station / Panmure Via Panama Rd,Bus,323,False,Low,No operational action required,14125,0.4231
323-221,323,323,323 - Otahuhu Station / Panmure Via Panama Rd,Bus,323,False,Medium,Monitor route conditions,2374,0.0711
323-221,323,323,323 - Otahuhu Station / Panmure Via Panama Rd,Bus,323,False,High,Adjust service headway,21,0.0006
323-221,323,323,323 - Otahuhu Station / Panmure Via Panama Rd,Bus,323,False,Severe,Deploy standby bus or supervisor review,19,0.0006
324-203,324,324,324 - Mangere Town Centre / Seaside Park Via Otahuhu,Bus,324,False,Low,No operational action required,7924,0.2374
324-203,324,324,324 - Mangere Town Centre / Seaside Park Via Otahuhu,Bus,324,False,Medium,Monitor route conditions,2277,0.0682
324-203,324,324,324 - Mangere Town Centre / Seaside Park Via Otahuhu,Bus,324,False,High,Adjust service headway,243,0.0073
324-203,324,324,324 - Mangere Town Centre / Seaside Park Via Otahuhu,Bus,324,False,Severe,Deploy standby bus or supervisor review,98,0.0029
325-203,325,325,325 - Mangere Town Ctr / Manukau Station Via Otahuhu & Otara,Bus,325,False,Low,No operational action required,17589,0.5269
